id;latitude;longitude
hartennes-et-taux;49.2667;3.35
vasseny;49.35;3.48333
merval;49.35;3.7
corcy;49.25;3.21667
bony;49.9833;3.21667
breny;49.1833;3.35
brecy-02;49.15;3.43333
bruyeres-sur-fere;49.1833;3.43333
flavy-le-martel;49.7167;3.2
pancy-courtecon;49.4667;3.65
bosmont-sur-serre;49.7333;3.86667
missy-aux-bois;49.3333;3.25
surfontaine;49.7333;3.45
dagny-lambercy;49.7667;4.03333
lanchy;49.8333;3.08333
vaudesson;49.4667;3.48333
coe逑uvres-et-valsery;49.3333;3.15
epieds-02;49.1;3.45
villeneuve-saint-germain;49.3833;3.35
alaincourt-02;49.75;3.36667
soucy-02;49.3167;3.13333
archon;49.7417;4.11667
pargny-filain;49.4667;3.53333
germaine-02;49.7833;3.11667
neuville-housset;49.7833;3.71667
belleau-02;49.1;3.3
paars;49.3333;3.6
laniscourt;49.55;3.55
sermoise;49.3667;3.45
barenton-bugny;49.6333;3.65
quierzy;49.5667;3.13333
cerizy;49.75;3.33333
ferte-chevresis;49.7333;3.56667
ramicourt;49.95;3.33333
bussiares;49.0833;3.25
bernot;49.8667;3.5
lerzy;49.9333;3.86667
samoussy;49.5833;3.73333
grougis;49.9333;3.53333
macquigny;49.8833;3.55
flamengrie-02;50;3.91667
servais;49.6167;3.35
bertricourt;49.3833;4
osly-courtil;49.4;3.21667
verneuil-sur-serre;49.65;3.66667
mayot;49.7;3.38333
wassigny;50.0167;3.6
barenton-cel;49.65;3.63333
englancourt;49.9167;3.8
athies-sous-laon;49.5667;3.68333
froidestrees;49.9333;3.9
malmaison;49.5167;3.98333
manicamp;49.5667;3.16667
barenton-sur-serre;49.6667;3.68333
audigny;49.85;3.65
ohis;49.9333;4.01667
martigny-02;49.8667;4.13333
barisis;49.5787;3.32806
epaux-bezu;49.1;3.35
abbecourt-02;49.6;3.18333
hauteville-02;49.8667;3.51667
benay;49.75;3.31667
neuville-en-beine;49.6833;3.15
tupigny;49.95;3.6
vervins;49.8333;3.9
dorengt;49.9667;3.68333
saint-gobert;49.8;3.81667
parcy-et-tigny;49.2787;3.335
saint-pierre-les-franqueville;49.8195;3.82361
mont-notre-dame;49.3;3.58333
mont-saint-martin-02;49.2833;3.63333
chierry;49.0333;3.43333
cutry-02;49.35;3.18333
chevennes;49.8167;3.73333
montigny-le-franc;49.6833;3.91667
bourg-et-comin;49.4;3.65
saint-agnan-02;49.0167;3.6
coulonges-cohan;49.2012;3.63639
premontre;49.55;3.4
courtrizy-et-fussigny;49.5167;3.8
jumencourt;49.5167;3.35
clairfontaine;49.9833;3.98333
sequehart;49.9167;3.33333
agnicourt-et-sechelles;49.7167;3.95
roucy;49.3667;3.81667
premont;50;3.38333
clastres;49.7333;3.23333
charmel;49.1167;3.55
allemant-02;49.4667;3.45
mont-saint-pere;49.0667;3.48333
parfondeval-02;49.7333;4.16667
chivres-val;49.4;3.43333
aubencheul-aux-bois;50.0333;3.26667
montfaucon-02;48.95;3.45
autels;49.7667;4.2257
fontenoy-02;49.4167;3.2
crecy-au-mont;49.4833;3.31667
morcourt-02;49.8667;3.31667
neuville-sur-margival;49.45;3.4
cys-la-commune;49.4;3.56667
marizy-saint-mard;49.1833;3.21667
villeret-02;49.95;3.18333
amifontaine;49.4833;3.91667
fontaine-uterte;49.9167;3.36667
dolignon;49.7167;4.08333
etaves-et-bocquiaux;49.9333;3.45
